file	descr	bubbles
mobile	connecté au réseau	30;140;touch|115;140;swipe|195;140;touch
caraibes	j'ai regroupé toutes les informations	150;20;regarde, c'est beau|30;130;en avion
pelouse	c'est mouvementé, ça sent bon	225;140;ffff rr rrf
cadavre	mais c'est difficile à enregistrer
applause	fait quelques étirements	85;75;il faut bien s'occuper
decolle	reposé un pied par terre	55;30;using electronic devices
accelere	allongé	15;140;avant|270;140;après
clique	mais je ne m'en souviendrai pas	20;20;vous êtes parfaits
